## ① 読みの食い違い（雑音の型を除く）: 行 | 語 | 読み→音 | 位置 | 語の GOP
c710-1 | 3.46 | 0.30 | 無印 | が｜機体
c713-1 | 2.18 | 0.12 | 無印 | いっ｜いっ
c714-1 | 2.20 | 0.18 | 無印 | が｜二
c715-2 | 1.24 | 0.32 | 無印 | およそ｜五
c716-1 | 4.04 | 0.14 | 無印 | 無かっ｜無かっ
c718-2 | 3.22 | 0.28 | 無印 | およそ｜ななじゅう
c719-1 | 0.44 | 0.26 | 無印 | は｜左
c719-1 | 3.88 | 0.20 | 無印 | で｜森
c721-1 | 2.64 | 0.26 | 無印 | から｜七
c801-2 | 5.80 | 0.18 | 無印 | の｜整備
c802-1 | 3.62 | 0.24 | 無印 | スチュワーデス｜な
c804-1 | 1.68 | 0.18 | 無印 | と｜日本
c805-1 | 2.22 | 0.28 | 無印 | で｜四
c805-2 | 5.88 | 0.50 | 無印 | は｜まだ
c806-2 | 3.58 | 0.22 | 無印 | を｜こう
c808-1 | 4.84 | 0.24 | 無印 | が｜じゅう
c808-2 | 1.04 | 0.16 | 無印 | や｜旅行
c808-2 | 5.00 | 0.20 | 無印 | と｜大臣
c810-1 | 4.30 | 0.54 | 無印 | ない｜と
c810-3 | 3.22 | 0.36 | 無印 | は｜大使館
c811-1 | 3.16 | 0.26 | 無印 | 支える｜と
c812-1 | 3.60 | 0.38 | 無印 | に｜羽田
c812-2 | 0.48 | 0.12 | 無印 | で｜議員
c813-2 | 3.82 | 0.18 | 無印 | た｜備え
c814-1 | 3.96 | 0.46 | 無印 | は｜千
c819-1 | 1.58 | 0.18 | 無印 | に｜貨物
c820-1 | 2.96 | 0.26 | 無印 | が｜正しく
c822-1 | 3.46 | 0.24 | 無印 | が｜すべて
c822-2 | 0.80 | 0.38 | 無印 | は｜ウィンザー
c901-1 | 2.26 | 0.30 | 無印 | は｜アメリカ
c902-1 | 2.64 | 0.24 | 無印 | な｜など
c902-1 | 3.14 | 0.38 | 無印 | など｜な
c903-1 | 1.36 | 0.26 | 無印 | は｜し
c903-2 | 3.92 | 0.32 | 無印 | は｜まだ
c903-2 | 5.48 | 0.50 | 無印 | 無い｜と
c903-3 | 3.12 | 0.12 | 無印 | と｜ＮＴＳＢ
c903-3 | 4.60 | 0.26 | 無印 | を｜最低限
